Date,Region,Tournament,Phase,Blue,Red,Score,Result,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
2025-03-17,EMEA,EM 2025 Winter,Day 1,Ici Japon Corp. Esport,Team Phantasma,1 - 1,Win,25.05,Draven,Ezreal,Zyra,Kalista,Vi,Miss Fortune,Skarner,"Azir, Darius","Corki, Akali",Caitlyn,Ambessa,Karma,Alistar,Renekton,Rell,"Leona, Jax",Poppy,Jungle,Bot,Mid,Support,Top,Mid,Jungle,Bot,Support,Top,SB,https://youtu.be/yHd6Or3eDLs?t=2592
2025-03-17,EMEA,EM 2025 Winter,Day 1,Ici Japon Corp. Esport,Team Phantasma,0 - 1,Loss,25.05,Draven,Ezreal,Zyra,Kalista,Vi,Miss Fortune,Maokai,"Rumble, Varus","Jhin, Jayce",Yone,Akali,Sejuani,Viktor,Skarner,Viego,"Aurora, Blitzcrank",Nautilus,Jungle,Bot,Top,Mid,Support,Top,Bot,Mid,Jungle,Support,SB,https://youtu.be/yHd6Or3eDLs?t=283
2025-02-27,EMEA,LFL 2025 Flash In Playoffs,Finals,Karmine Corp Blue,Ici Japon Corp. Esport,3 - 1,Loss,25.S1.3,Akali,Zyra,Poppy,Kalista,Varus,Draven,Maokai,"Sivir, Skarner","Nilah, Senna",Rell,Jayce,Aatrox,Hwei,None,Gnar,"Orianna, Sion",Syndra,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/hExN-iEJmBU?t=10672
2025-02-27,EMEA,LFL 2025 Flash In Playoffs,Finals,Ici Japon Corp. Esport,Karmine Corp Blue,1 - 2,Win,25.S1.3,Zyra,Skarner,Kalista,Maokai,Draven,Varus,Aurora,"Zeri, Lulu","Tristana, Blitzcrank",Wukong,Zac,Akali,Nocturne,Ahri,Vladimir,"Amumu, Jax",Gragas,Mid,Bot,Support,Jungle,Top,Bot,Support,Jungle,Mid,Top,SB,https://youtu.be/hExN-iEJmBU?t=7946
2025-02-27,EMEA,LFL 2025 Flash In Playoffs,Finals,Ici Japon Corp. Esport,Karmine Corp Blue,0 - 2,Loss,25.S1.3,Zyra,Skarner,Kalista,Maokai,Aurora,Varus,Ezreal,"Leona, Kai'Sa","Azir, Ambessa",Renekton,Ivern,Taliyah,Zac,Hwei,Viego,"Alistar, Xin Zhao",Sylas,Bot,Mid,Top,Support,Jungle,Support,Bot,Top,Jungle,Mid,SB,https://youtu.be/hExN-iEJmBU?t=5253
2025-02-27,EMEA,LFL 2025 Flash In Playoffs,Finals,Karmine Corp Blue,Ici Japon Corp. Esport,1 - 0,Loss,25.S1.3,Varus,Zyra,Ezreal,Kalista,Skarner,Maokai,Corki,"Sejuani, Miss Fortune","Vi, Rumble",K'Sante,Kai'Sa,Azir,Rell,Taliyah,Viktor,"Galio, Braum",Rakan,Bot,Jungle,Top,Mid,Support,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/hExN-iEJmBU?t=1997
2025-02-26,EMEA,LFL 2025 Flash In Playoffs,Round 2,Ici Japon Corp. Esport,Solary,3 - 1,Win,25.S1.3,Zyra,Maokai,Vi,Jayce,Varus,Corki,Tristana,"Gnar, Orianna","Viktor, Aatrox",Leona,Blitzcrank,Viego,Rakan,Wukong,Xayah,"Braum, Zac",Nunu,Bot,Mid,Top,Support,Jungle,Top,Mid,Support,Bot,Jungle,SB,https://youtu.be/eDJWDPhL14g?t=12031
2025-02-26,EMEA,LFL 2025 Flash In Playoffs,Round 2,Solary,Ici Japon Corp. Esport,1 - 2,Loss,25.S1.3,Orianna,Vi,Jayce,Zyra,Corki,Maokai,Rumble,"Nocturne, Miss Fortune","Kai'Sa, Pantheon",Ornn,Braum,Viktor,Mel,Leona,Sylas,"Nautilus, Galio",Poppy,Top,Bot,Jungle,Support,Mid,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/eDJWDPhL14g?t=9273
2025-02-26,EMEA,LFL 2025 Flash In Playoffs,Round 2,Solary,Ici Japon Corp. Esport,0 - 2,Win,25.S1.3,Orianna,Vi,Jayce,Rumble,Maokai,Zyra,Skarner,"Sivir, Lulu","Jinx, Rell",Xin Zhao,Hwei,Viktor,Mel,Ahri,Sion,"Aurora, Jax",Taliyah,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https://youtu.be/eDJWDPhL14g?t=6007
2025-02-26,EMEA,LFL 2025 Flash In Playoffs,Round 2,Ici Japon Corp. Esport,Solary,1 - 0,Win,25.S1.3,Zyra,Skarner,Rumble,Maokai,Vi,Jayce,Ezreal,"Ambessa, Sejuani","K'Sante, Azir",Akali,Poppy,Kai'Sa,Leona,Varus,Kalista,"Ivern, Alistar",Renata Glasc,Bot,Top,Mid,Jungle,Support,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/eDJWDPhL14g?t=2024
2025-02-19,EMEA,LFL 2025 Flash In Playoffs,Round 1,Ici Japon Corp. Esport,Karmine Corp Blue,0 - 3,Loss,25.S1.3,Sejuani,Skarner,Aurora,Maokai,Xayah,Nocturne,Corki,"Miss Fortune, Viego","Jax, Wukong",Gragas,Braum,Nautilus,Orianna,Poppy,Rakan,"Sylas, Alistar",Hwei,Bot,Top,Jungle,Mid,Support,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/kjGLvrQX3xA?t=7310
2025-02-19,EMEA,LFL 2025 Flash In Playoffs,Round 1,Ici Japon Corp. Esport,Karmine Corp Blue,0 - 2,Loss,25.S1.3,Sejuani,Skarner,Corki,Viktor,Jayce,Maokai,Rumble,"Ezreal, Leona","Kai'Sa, Rell",Zyra,Nocturne,Renekton,Wukong,Ornn,Sion,"Pantheon, Akali",Galio,Top,Bot,Support,Jungle,Mid,Bot,Support,Jungle,Top,Mid,SB,https://youtu.be/kjGLvrQX3xA?t=4702
2025-02-19,EMEA,LFL 2025 Flash In Playoffs,Round 1,Ici Japon Corp. Esport,Karmine Corp Blue,0 - 1,Loss,25.S1.3,Rumble,Skarner,Sejuani,Viktor,Poppy,Maokai,Kalista,"Renata Glasc, Draven","Ambessa, Azir",K'Sante,Blitzcrank,Aurora,Rell,Akali,Vi,"Xin Zhao, Bard",Taliyah,Bot,Top,Mid,Jungle,Support,Support,Bot,Top,Jungle,Mid,SB,https://youtu.be/kjGLvrQX3xA?t=2051
